dateissue,Value
14030725,2065768.8
14030728,2041076.7
14030729,2021114.4
14030730,2007268.8
14030801,1993756.6
14030802,1970901.9
14030805,1995225.8
14030806,2025951.6
14030807,2051596.7
14030808,2051668.8
14030809,2056223.2
14030812,2061292.6
14030813,2032764.9
14030814,2017970.1
14030815,2024994.4
14030816,2017876.7
14030819,2054155.5
14030820,2089418
14030821,2126285.5
14030822,2133608.5
14030823,2146969.4
14030826,2192459.6
14030827,2211821
14030828,2255452.3
14030829,2269704.2
14030830,2257613.8
14030903,2282058.8
14030904,2331194.7
14030905,2389125.4
14030906,2414976.7
14030907,2426155.8
14030910,2414969
14030911,2399449.7
14030912,2460408.3
14030913,2489360.4
14030914,2501760.6
14030917,2468763.7
14030918,2452725.5
14030919,2506917
14030920,2518875.4
14030921,2543265
14030924,2601422.3
14030925,2653417.7
14030926,2686352.6
14030927,2673987.1
14030928,2680489.4
14031001,2738852.9
14031002,2763640.5
14031003,2799237.4
14031004,2847168.1
14031005,2848900.8
14031008,2827418.7
14031009,2777733.7
14031010,2734841.3
14031011,2759421.6
14031012,2788210.3
14031015,2849940.2
14031016,2868372.7
14031017,2872264.3
14031018,2922131.4
14031019,2944636.7
14031022,2910999
14031023,2857309.2
14031024,2866653.9
14031026,2866222.3
14031029,2815641.2
14031030,2800954.3
14031101,2758911.1
14031102,2761005.8
14031103,2814327.3
14031106,2840307.8
14031107,2821066.4
14031108,2807605.9
14031110,2801435.1
14031113,2764115.5
14031114,2776828.5
14031115,2780496
14031116,2804218.8
14031117,2804035
14031120,2804035
14031121,2821666.2
14031123,2784343.9
14031127,2726564.9
14031128,2678885.2
14031129,2701040.7
14031130,2719338.7
14031201,2732228.3
14031204,2714126.5
14031205,2735823.1
14031206,2792687.1
14031207,2840956.5
14031208,2843968.3
14031211,2854314.8
14031212,2870947.6
14031213,2813454.8
14031214,2805344.1
14031215,2789970.5
14031218,2756970.3
14031219,2722174.3
14031220,2724772.4
14031221,2688503.5
14031222,2694660.6
14031225,2737429.4
14031226,2753661.1
14031227,2744110.9
14031228,2710088.1
